year,urban,rural
1949,5765,48402
1950,6169,49027
1951,6632,49668
1952,7163,50319
1953,7826,50970
1954,8249,52017
1955,8285,53180
1956,9185,53643
1957,9949,54704
1958,10721,55273
1959,12371,54836
1960,13073,53134
1961,12707,53152
1962,11659,55636
1963,11646,57526
1964,12950,57549
1965,13045,59493
1966,13313,61229
1967,13548,62820
1968,13838,64696
1969,14117,66554
1970,14424,68568
1971,14711,70518
1972,14935,72242
1973,15345,73866
1974,15595,75264
1975,16030,76390
1976,16341,77376
1977,16669,78305
1978,17245,79014
1979,18495,79047
1980,19140,79565
1981,20171,79901
1982,21480,80174
1983,22274,80734
1984,24017,80340
1985,25094,80757
1986,26366,81141
1987,27674,81626
1988,28661,82365
1989,29540,83164
1990,30195,84138
1991,31203,84620
1992,32175,84996
1993,33173,85344
1994,34169,85681
1995,35174,85947
1996,37304,85085
1997,39449,84177
1998,41608,83153
1999,43748,82038
2000,45906,80837
2001,48064,79563
2002,50212,78241
2003,52376,76851
2004,54283,75705
2005,56212,74544
2006,58288,73160
2007,60633,71496
2008,62403,70399
2009,64512,68938
2010,66978.4545,67112.5455
2011,69078.6345,65656.3655
2012,71181.8828,64222.1172
2013,73111.4856,62960.5144
2014,74915.5014,61866.4986
2015,77116.182,60345.818
2016,79298.4185,58972.5815
2017,81347.4816,57660.5184
2018,83136.7404,56401.2596
2019,84843,55162
